query_id,event_date,user_id,team_id,dataset_id,environment,bytes_scanned_gb,execution_time_ms
693ddca0-fe54-4a61-8efe-a90a1d0ab246,2025-06-29,U08,T04,D02,prod,0.22,1131
1f96a917-6004-4a67-b7be-6fae9e9883d0,2025-06-29,U03,T02,D01,prod,0.25,1192
bba92d2c-3475-4a54-a49a-693dc50e339d,2025-06-29,U05,T03,D02,prod,0.18,822
4dd8ed7a-8d1d-41dd-8336-72f61575b6ca,2025-06-29,U06,T03,D02,prod,0.29,1033
4088182f-08af-4807-b558-1a262ecdcafd,2025-06-29,U02,T01,D03,prod,0.08,1297
cd201377-002d-4f86-829f-fbcc8a249429,2025-06-29,U07,T04,D04,dev,0.03,727
3f564131-f0ff-4160-8269-04be91e5124d,2025-06-29,U07,T04,D02,prod,0.08,568
9384f682-ceb1-49a1-aa7d-c2d1b0c6ad2a,2025-06-29,U03,T02,D04,prod,0.25,967
b6d222bb-1080-4e48-9985-b86b0ab45347,2025-06-29,U08,T04,D02,prod,0.2,770
781a647d-dc1f-4c90-b582-d0609fdb8d98,2025-06-29,U02,T01,D01,staging,0.14,857
5f927c44-9b92-4622-9602-906a70b4f93f,2025-06-29,U01,T01,D01,prod,0.15,326
6ba144a6-2bb1-4fc5-bf03-d0eb00d69320,2025-06-29,U03,T02,D04,prod,0.22,1405
ff5a6b79-c19a-4159-b181-c6dcf4bc4529,2025-06-29,U05,T03,D04,dev,0.02,988
4d56c113-a092-43ed-934a-f02d209a2df1,2025-06-29,U02,T01,D03,prod,0.11,421
281c31f6-d71f-405f-8dae-27f599093916,2025-06-29,U02,T01,D03,prod,0.15,1354
ce6dedf8-0975-4b50-b073-1c9f320757a8,2025-06-29,U08,T04,D03,prod,0.22,936
9304b721-a968-48b2-be20-518792b169b6,2025-06-29,U08,T04,D01,staging,0.09,1365
b6485439-554b-4b37-a8ac-9979f4c0c25e,2025-06-29,U08,T04,D04,staging,0.08,731
afd9969a-3ff6-417f-a1fa-48a678deb648,2025-06-29,U03,T02,D01,prod,0.39,960
e67a1c11-239c-4112-8f2b-3fd91d86b4b8,2025-06-29,U01,T01,D03,prod,0.2,1159
8c177eb6-afda-42df-a7de-535760e0b202,2025-06-29,U08,T04,D01,prod,0.19,1038
6810ed05-5130-49b4-9415-db5f0a50548c,2025-06-29,U03,T02,D01,prod,0.24,1045
b2321276-4c9c-40e0-b55a-7ca7e0cbd624,2025-06-29,U02,T01,D02,prod,0.03,604
6bd98bcd-0f5f-450f-b4f6-72ebe2d2b867,2025-06-29,U04,T02,D03,dev,0.06,469
1f1a6862-a802-45db-b98b-b96088c82f41,2025-06-29,U05,T03,D04,staging,0.07,690
a084c3b7-7e11-49b7-8766-da8fa4c4ff12,2025-06-29,U07,T04,D02,prod,0.21,907
3a5a27e6-ad73-4753-b90e-0c2bf07edb04,2025-06-29,U01,T01,D03,prod,0.22,1020
b68e92ec-fd58-49e7-af9c-a6b0e9ef77a2,2025-06-29,U05,T03,D04,prod,0.13,656
49e553ee-e9f6-404e-a505-7acfb6fd0e3b,2025-06-29,U07,T04,D01,dev,0.03,689
1b9d315b-84f7-4cdb-99c5-5ff8091ee784,2025-06-29,U05,T03,D01,prod,0.1,1356
3a8da9a1-02b9-4596-b095-1851b8234058,2025-06-29,U06,T03,D01,prod,0.24,325
6d768827-dfb5-4eaa-b185-088b9fd69828,2025-06-29,U03,T02,D04,prod,0.27,704
500e2792-f959-4543-bfab-c4dba321cd28,2025-06-29,U02,T01,D04,prod,0.16,1139
6e360da6-ea0e-43f9-a046-c68f048e76b6,2025-06-29,U03,T02,D03,prod,0.21,1512
0519d93a-ed05-404a-ac6f-76fb8dfd5b2f,2025-06-29,U01,T01,D01,prod,0.32,411
4834ea16-389b-403a-a426-73d92c8344c4,2025-06-29,U04,T02,D02,staging,0.08,381
ecadfaea-e5f8-4243-815e-791db2befed1,2025-06-29,U03,T02,D01,prod,0.29,1150
3817b40d-61ad-4a72-a9f8-8995d7c5b6c4,2025-06-29,U04,T02,D04,prod,0.11,950
5d47a2a8-9089-4914-8eaa-579fe8a2865e,2025-06-29,U05,T03,D03,dev,0.05,1059
e86b4ef1-a7df-4ad6-ba40-5d976dba9e28,2025-06-29,U02,T01,D01,prod,0.25,817
b5129104-efed-48a0-bdb0-f26872691d6e,2025-06-29,U05,T03,D02,prod,0.24,341
9a188e9c-630d-47c5-a13f-1bab2baba41b,2025-06-29,U06,T03,D01,prod,0.27,1264
f7074f3b-5ab4-4b74-b0da-61fa7fb4a45a,2025-06-29,U03,T02,D04,prod,0.13,1148
14fec79e-0515-403e-b329-ec69baf4ad99,2025-06-29,U06,T03,D04,prod,0.27,1211
7bf7f7ed-4ac0-4a04-9085-4351273f5d2c,2025-06-29,U02,T01,D02,staging,0.06,1127
d5c7a7bf-467b-4f7f-b02d-6a64fc3211a0,2025-06-29,U05,T03,D04,prod,0.12,366
09bce933-4f35-46cb-a842-24cfacad2746,2025-06-29,U05,T03,D01,prod,0.31,839
ec70772a-7609-4a01-b4e2-e202ae306c4c,2025-06-29,U07,T04,D04,prod,0.2,719
1c0b73fd-b383-4291-a44c-4e83103733c3,2025-06-29,U07,T04,D02,dev,0.07,1661
6de0cfe5-644e-47ae-a8a8-56068e4a4061,2025-06-29,U04,T02,D03,prod,0.24,596
54d21181-33cc-4cef-bf9f-fb2c9830316f,2025-06-29,U04,T02,D04,dev,0.02,766
a0ec346a-7aea-4a3d-a50f-070adfb95004,2025-06-29,U04,T02,D02,staging,0.08,684
ca08bb52-2773-41ef-b1d2-a0dd9e17c076,2025-06-29,U06,T03,D02,prod,0.27,1232
fb51e25c-1c42-4389-a56e-480b20305fab,2025-06-29,U03,T02,D02,staging,0.08,729
d4906555-aaab-4a9b-b36f-4e462e3c444d,2025-06-29,U04,T02,D01,prod,0.28,1211
077c51ea-b7ba-4bb8-a8de-03f90a67c6d1,2025-06-29,U05,T03,D04,prod,0.12,810
ec60445b-d485-4f7e-81eb-964b8b7b266b,2025-06-29,U01,T01,D04,prod,0.14,822
20c303bc-7048-4965-9733-ec07c560ba72,2025-06-29,U04,T02,D04,prod,0.28,1188
fb1af9e0-6ecb-43cd-bcca-8ec5406ddf7e,2025-06-29,U01,T01,D03,prod,0.21,817
e0f3b676-c515-4aa9-ab47-1e48f7edbec3,2025-06-29,U06,T03,D02,prod,0.11,399
1001adf5-ffe4-449e-b40c-5267ee5a056b,2025-06-29,U06,T03,D04,prod,0.33,1255
9c65a3fe-c6ec-45ff-8a69-410846ca8dcd,2025-06-29,U08,T04,D03,dev,0.04,985
beadd8e0-a283-4a23-b72a-8ce22de094ca,2025-06-29,U05,T03,D03,staging,0.08,492
c029261c-30bc-4bea-b491-58baa68272d7,2025-06-29,U07,T04,D03,prod,0.16,1185
7575a284-2f4f-4e86-aaea-e8598d230681,2025-06-29,U07,T04,D02,prod,0.24,1443
d3ef2f2f-9551-4955-972f-305be395d84f,2025-06-29,U07,T04,D01,prod,0.19,1113
edbd503a-13b8-43d6-9f15-e91f3c117766,2025-06-29,U03,T02,D01,dev,0.02,343
62508265-ff48-4aca-89a4-4fb4f04161f9,2025-06-29,U04,T02,D02,staging,0.05,623
8aeb57a8-8faa-433e-b543-b3bc397c9490,2025-06-29,U08,T04,D03,prod,0.09,373
6a9c35b6-c44e-4fb3-bb14-f98820debf22,2025-06-29,U02,T01,D04,prod,0.19,1012
082b1fe5-3f56-407a-8415-032bdf3adf5e,2025-06-29,U08,T04,D02,prod,0.11,616
944a9801-0691-44ae-932b-827541649597,2025-06-29,U01,T01,D01,prod,0.38,681
cb9ae3da-ce89-487e-a553-bfb2df7cb36b,2025-06-29,U04,T02,D04,staging,0.07,1219
f9fcd070-0945-4aee-a042-008e5f0d131c,2025-06-29,U04,T02,D01,prod,0.2,878
e9b1b046-cdf3-4fac-abdd-56cee4a4f546,2025-06-29,U08,T04,D01,staging,0.03,1145
3009690c-3357-439e-967f-62de29634acd,2025-06-29,U04,T02,D04,prod,0.21,1306
67a8e9ae-cd9b-4087-a151-17f5a0ded455,2025-06-29,U05,T03,D02,prod,0.02,1276
6973122a-2056-4f20-bad4-fe6fbe5b7e6d,2025-06-29,U03,T02,D03,prod,0.13,980
5a110184-77d0-4887-be88-d43372181835,2025-06-29,U08,T04,D02,prod,0.26,1092
c73fac2c-e10b-4d9a-bb0e-230ee60ad1fd,2025-06-29,U08,T04,D03,dev,0.05,1679
d36542c5-4ddc-4189-a7d0-7f9945b20ced,2025-06-29,U08,T04,D02,staging,0.06,773
4c3c661a-6621-4d36-9c5d-e5bc6591457f,2025-06-29,U03,T02,D02,staging,0.07,889
6380fa77-f55d-49e0-b2fe-cb397b332e3b,2025-06-29,U05,T03,D02,prod,0.21,982
7f833fc8-332b-4966-9757-2db056c9933a,2025-06-29,U04,T02,D01,prod,0.2,949
80033875-ddd8-4402-9396-315c5a01716b,2025-06-29,U04,T02,D04,staging,0.09,1054
5e5b821a-2243-49ef-8c0f-f42a4d6a565e,2025-06-29,U05,T03,D04,dev,0.07,350
d421b242-66e8-4afb-8435-d3b4214f94ff,2025-06-29,U02,T01,D03,prod,0.44,647
932d64e6-2fb9-4291-ba86-7e75681cf864,2025-06-29,U02,T01,D04,prod,0.21,879
a6a901fd-99c9-40a6-b679-ebb599d731ac,2025-06-29,U08,T04,D02,prod,0.18,913
26cdd6bd-338b-4bab-a055-ece602a7940b,2025-06-29,U02,T01,D03,staging,0.06,1172
4977ea25-b872-4dd1-beaf-bca43e6f88a3,2025-06-29,U06,T03,D01,staging,0.08,1179
53bda0d1-c31c-409f-b266-8a5b95e22b10,2025-06-29,U02,T01,D04,prod,0.23,705
e261fd48-07be-4012-99b7-de2e89823870,2025-06-29,U06,T03,D01,prod,0.23,1261
68d43077-12b4-4b70-a714-3d136c263a28,2025-06-29,U06,T03,D01,prod,0.13,1145
0b994cb7-29a1-4bea-a5b6-0824191abfaa,2025-06-29,U05,T03,D03,prod,0.08,974
cfe925f2-7f01-4d96-89bc-ccba9478ba29,2025-06-29,U05,T03,D04,staging,0.13,1055
d264d4a1-62ee-41ce-a933-8b68f3221b22,2025-06-29,U07,T04,D03,prod,0.15,755
ab4966c0-8f5c-486e-b281-a7c404f598d9,2025-06-29,U08,T04,D03,prod,0.21,860
73291ae1-fba4-4602-aa8b-157cb3d91cbe,2025-06-29,U01,T01,D02,prod,0.04,531
e7fb6885-1b1b-493d-8c4f-0452ef97f286,2025-06-29,U06,T03,D03,staging,0.07,833
5a857a8e-d829-4e54-a21a-d7caf4c52bc6,2025-06-29,U06,T03,D02,prod,0.11,565
1027fa7b-15cc-4510-9199-8912d2600977,2025-06-29,U08,T04,D03,prod,0.1,1654
e3eae2e3-3999-42ce-bba8-b7a57c27fadb,2025-06-29,U03,T02,D01,dev,0.02,788
9ce3a14a-b467-4b5d-a4b3-386634e72c0d,2025-06-29,U01,T01,D04,prod,0.2,472
ba792ce7-e75b-41ee-810c-b70760aaf7fc,2025-06-29,U07,T04,D03,prod,0.24,709
58f2cc35-4dea-4cdb-9dcd-9933f89cf50f,2025-06-29,U07,T04,D01,prod,0.27,1207
8b0718de-95c4-4c9d-b0ec-1436080d3be7,2025-06-29,U05,T03,D02,prod,0.11,948
7ea30be4-17ce-458e-8e76-f9d7a97c3883,2025-06-29,U03,T02,D01,prod,0.12,918
619c7b11-4723-4e8b-bd38-f4f2b6e105b2,2025-06-29,U04,T02,D01,prod,0.13,1439
f819e8fb-b5af-4d34-a124-ca9c598553c0,2025-06-29,U04,T02,D02,prod,0.25,963
c47178ba-dd4d-47ed-9de4-ad48987ae2ca,2025-06-29,U06,T03,D03,prod,0.26,934
aa338140-d5a4-4e09-924e-5ea5dab0e971,2025-06-29,U04,T02,D03,prod,0.27,1095
b398c1ea-59d7-4e24-968e-00691ff29c34,2025-06-29,U08,T04,D01,prod,0.32,1071
99519360-2f7f-448b-b221-cc7201b7b492,2025-06-29,U01,T01,D04,prod,0.22,561
07235bb4-60d4-4a96-8d86-87e239bb1f34,2025-06-29,U04,T02,D04,prod,0.24,755
96f4e49f-85a2-4ea6-9cdc-fda383ca7cf1,2025-06-29,U03,T02,D04,dev,0.08,875
aea0ec52-e4b1-454c-a9f4-e48815d319c2,2025-06-29,U01,T01,D01,staging,0.07,1342
41b6be0d-bd47-43d0-a46d-1c47b9bc4edb,2025-06-29,U06,T03,D01,prod,0.3,117
de6982d2-c57a-48e2-afe0-e9bacc7d2587,2025-06-29,U07,T04,D02,prod,0.22,694
1dc768a2-f834-4c5c-b9c1-770722583a07,2025-06-29,U07,T04,D02,prod,0.22,1415
293d9d61-bcdd-4f86-8d64-bb00390d52ac,2025-06-29,U01,T01,D03,prod,0.32,1198
c5c40414-15c6-4db7-9d75-65350f2e9d28,2025-06-29,U02,T01,D01,prod,0.16,1321
4ef21f8b-554c-4d86-b459-0b75cab47831,2025-06-29,U03,T02,D02,dev,0.02,1375
17ba7170-8336-4990-89c6-8ec51c3cd843,2025-06-29,U05,T03,D03,prod,0.38,528
5f323612-6b37-4cd5-a5f5-2e286ccceacb,2025-06-29,U02,T01,D01,prod,0.24,1174
816b4664-1765-4b77-8f20-e01081d36bc2,2025-06-29,U01,T01,D04,staging,0.09,680
896d726d-95a8-41bb-8d76-5b87db8ca407,2025-06-29,U04,T02,D04,staging,0.09,884
0ed3b16c-a7ab-4cea-94e8-6475919bb50d,2025-06-29,U05,T03,D04,prod,0.21,1085
c3f9fd33-ebfd-4576-83c9-dbbf8f6e3441,2025-06-29,U08,T04,D01,prod,0.21,1201
2e8d4fe6-f611-4652-b060-bd9202d92c80,2025-06-29,U04,T02,D01,prod,0.18,1214
ab71ab84-4f21-4972-8d49-f4b572f9cfbe,2025-06-29,U08,T04,D01,prod,0.24,497
be08f7c7-4858-4439-8a46-19610b41a070,2025-06-29,U06,T03,D03,prod,0.29,512
dbcef1b5-1bb8-44aa-87e6-340ca357dc70,2025-06-29,U06,T03,D04,staging,0.06,410
e86d9cc6-ff40-4c9c-afa9-092d35ea5a25,2025-06-29,U05,T03,D02,prod,0.21,1174
566bc49e-c28e-4203-b4e0-e9b2222d9688,2025-06-29,U02,T01,D02,dev,0.05,673
2e5536f8-e6ea-4e76-bc67-4bf0ed5e7350,2025-06-29,U06,T03,D01,prod,0.17,1175
aa1b656b-e9f3-45a9-ba2e-0411e4f971a3,2025-06-29,U03,T02,D04,prod,0.07,609
bbae9f8c-e30f-43b4-9472-10270ecda1fb,2025-06-29,U04,T02,D03,prod,0.24,761
e7e200d4-5ef4-4dd8-bca8-bcc46e1d99c9,2025-06-29,U01,T01,D04,staging,0.11,689
1aa401f9-584c-4288-a580-cdb470fab1f5,2025-06-29,U03,T02,D04,prod,0.14,1140
e9674944-4e72-43a3-bc82-7146440825b6,2025-06-29,U05,T03,D04,prod,0.15,543
c6afd14d-b307-44d4-8d85-40374586954f,2025-06-29,U06,T03,D04,prod,0.22,689
6154d813-81a3-4c20-81bb-c99fa8635bf2,2025-06-29,U08,T04,D04,prod,0.15,1024
5753fb79-43a7-410a-87e3-94a451545820,2025-06-29,U07,T04,D01,prod,0.13,1070
a4026c1e-f1a7-4861-b955-dab7569bb2fb,2025-06-29,U02,T01,D02,prod,0.32,569
d2396d3c-8295-4f21-828b-9b92bb71414d,2025-06-29,U06,T03,D04,dev,0.03,1209
be42c179-b970-4fa4-b826-2081ee70d721,2025-06-29,U07,T04,D01,prod,0.2,1401
b7e83956-65f7-4625-a61f-f484abf3f4a7,2025-06-29,U05,T03,D02,staging,0.09,950
c0d92a29-60c5-46ec-8492-2981ab27c3ef,2025-06-29,U05,T03,D04,prod,0.08,572
299bc284-c3c6-4f87-8fdd-c91d1895b8db,2025-06-29,U03,T02,D01,prod,0.17,957
4149d649-3879-4a58-8552-6bb849e8dc78,2025-06-29,U03,T02,D02,dev,0.04,664
a28ef1fd-af5d-4fdf-a2ce-74a1599fdd2f,2025-06-29,U07,T04,D04,staging,0.04,1034
5f87c354-fe9e-43ec-84cd-ee2fc0b893b1,2025-06-29,U01,T01,D04,dev,0.04,1557
07c8403d-bb93-47be-ac09-7d4a479a8940,2025-06-29,U01,T01,D04,dev,0.06,543
bd651911-5b84-405b-93d2-f5a57b20b11f,2025-06-29,U07,T04,D04,staging,0.07,1639
33a1d9be-062f-4c41-b92c-dd3a6bc54078,2025-06-29,U02,T01,D04,prod,0.17,717
4598fb43-701a-4f81-8e0a-067b670cb068,2025-06-29,U08,T04,D03,prod,0.18,984
afb8b933-a480-4a1a-b0fa-9d36e1e84836,2025-06-29,U08,T04,D02,prod,0.13,835
a2497416-bc18-416e-9ce8-d2466c6398cd,2025-06-29,U04,T02,D02,prod,0.31,730
f76a4fb8-f871-4827-b35e-e8c798577a86,2025-06-29,U07,T04,D01,prod,0.16,1031
d701cd53-7abf-4aab-96b4-f24d02662f3f,2025-06-29,U03,T02,D04,prod,0.29,861
31ff4281-5dab-4af7-a3d7-9fdc8d0fbad8,2025-06-29,U06,T03,D03,dev,0.07,830
fe9544dd-e7d8-431c-9ef6-3cb0ad7e0fc0,2025-06-29,U01,T01,D02,prod,0.11,1180
e834e413-9ba2-4683-80aa-565241640db9,2025-06-29,U03,T02,D02,staging,0.06,1144
aaf62f54-0b0c-4ce3-b51e-05c11bda3be7,2025-06-29,U01,T01,D01,prod,0.09,1032
e83cdd5b-f30c-4637-95b8-cbcee4aa279b,2025-06-29,U04,T02,D03,prod,0.29,1242
e4f6c681-0415-4c1d-9e60-e3b5c25d8393,2025-06-29,U06,T03,D03,dev,0.03,1323
78e3f7b5-023b-4d93-842b-51912729d01e,2025-06-29,U05,T03,D02,dev,0.07,926
d5a081ae-e123-45f2-a446-bd1d86056a60,2025-06-29,U02,T01,D01,prod,0.33,903
e31d9bda-2996-4015-a2d6-dff23b85cf16,2025-06-29,U07,T04,D01,staging,0.06,577
7a343294-4208-40fe-96ae-5465212ad9de,2025-06-29,U01,T01,D02,prod,0.06,694
2e90d691-87d0-43b7-af94-046c3487ddfb,2025-06-29,U04,T02,D04,prod,0.25,891
efb952b1-2bb4-4e91-863f-292a68873729,2025-06-29,U01,T01,D03,dev,0.06,1358
4a1e305f-51cf-4b6f-967a-dd70e85d1705,2025-06-29,U07,T04,D03,prod,0.23,828
44c11eab-7ae7-4ea1-bf06-c151456b4916,2025-06-29,U05,T03,D03,prod,0.13,963
ce66c2ee-34e4-4916-9a13-d698e7097c9c,2025-06-29,U06,T03,D04,staging,0.07,849
d59d3ff2-81f1-464b-98a8-6d9295a3d491,2025-06-29,U01,T01,D03,prod,0.22,988
63b481f3-0022-4611-b24a-7be0930b395f,2025-06-29,U04,T02,D04,prod,0.06,541
66222455-4174-428c-bba1-328a46820612,2025-06-29,U02,T01,D02,prod,0.19,948
9747cd2a-b12c-4fbd-887f-6f04561f85b0,2025-06-29,U03,T02,D02,staging,0.05,643
93cef4ea-bf57-4cb3-b04e-2ccdbac2ab4d,2025-06-29,U05,T03,D03,prod,0.15,1363
0784e6a1-90e9-4508-9746-6edcf83defe3,2025-06-29,U06,T03,D01,dev,0.07,1148
2977884c-ab05-4327-b149-6f340ea4f9c5,2025-06-29,U08,T04,D04,prod,0.26,1076
f09a4e4a-d69f-47f6-8a08-3bcdfcbb3c01,2025-06-29,U04,T02,D01,prod,0.22,1249
30b5c017-e9c6-4067-97da-a16f45d4ed76,2025-06-29,U07,T04,D03,prod,0.15,826
5384d55c-e58a-4edd-9895-e781b3b3ba12,2025-06-29,U01,T01,D02,prod,0.2,602
031358d2-a5b4-47f1-9ec1-8b4e3886459f,2025-06-29,U06,T03,D01,prod,0.23,628
5a341ef6-4f7b-4d93-877e-d252dc634571,2025-06-29,U05,T03,D02,prod,0.17,592
6d53f37a-051b-4ab7-a35b-b9468315db26,2025-06-29,U02,T01,D04,staging,0.14,1006
ab132972-15bd-4ba3-b0ec-c8ec577a5a60,2025-06-29,U07,T04,D03,prod,0.2,724
f2d1063e-8333-4421-a6b6-099ae70ff993,2025-06-29,U06,T03,D04,prod,0.09,961
760b7506-bdc7-4d8d-a094-3a0b33811192,2025-06-29,U07,T04,D01,prod,0.17,817
98ba276c-1037-4bc0-846d-f0e1bd3c2638,2025-06-29,U07,T04,D04,prod,0.12,1165
57ce1064-22ae-4f87-9a9f-87411d634399,2025-06-29,U04,T02,D03,prod,0.14,172
a0d2a7f9-e2a0-49dd-9ed1-e16281fc59dc,2025-06-29,U01,T01,D04,prod,0.26,1046
f4eeac64-814d-41b2-86d9-c455dfc86cda,2025-06-29,U03,T02,D01,dev,0.06,732
f5c6668b-667b-4454-853f-c4fd9722dd8c,2025-06-29,U02,T01,D03,prod,0.11,679
edc8a96c-70fb-4381-bf6d-b2c2fbab7389,2025-06-29,U02,T01,D03,staging,0.05,952
5ccc5662-1ab3-44a2-a80a-2175006b7b00,2025-06-29,U03,T02,D04,prod,0.17,1030
ad7429a2-6cca-4cbb-b829-1c85b8c29da1,2025-06-29,U01,T01,D01,prod,0.27,260
09211627-0f8f-4f23-b23c-efcabd70821d,2025-06-29,U03,T02,D02,prod,0.19,812
d72ab31b-22bb-49e2-8b99-a80c2aff606e,2025-06-29,U07,T04,D03,prod,0.07,925
fc7a4823-032b-450d-967d-e9aa58736d1d,2025-06-29,U02,T01,D04,prod,0.26,492
56e8fe28-dab8-4d67-9054-226561365550,2025-06-29,U07,T04,D02,staging,0.07,1129
d379493c-39da-4019-8124-397d7d252d03,2025-06-29,U01,T01,D01,prod,0.18,799
711dbcbe-73f8-4775-9608-0d5d0acaae64,2025-06-29,U06,T03,D03,prod,0.16,957
6ef6f806-3a6e-4c02-8222-33f46d075b84,2025-06-29,U02,T01,D03,dev,0.05,543
ee5a483c-f833-4b84-bfd9-f4e047ddad19,2025-06-29,U07,T04,D01,dev,0.04,988
8e052db7-249d-48b0-b8c9-c35042a9589f,2025-06-29,U06,T03,D02,prod,0.19,983
d79dd859-48a9-4cc9-aa76-5371f745b481,2025-06-29,U08,T04,D03,prod,0.25,730
c521dcda-95d1-4cc5-bafc-ba9f84be7639,2025-06-29,U05,T03,D03,prod,0.16,869
85fc1a6a-53ea-43fa-baee-531da46b776f,2025-06-29,U06,T03,D03,dev,0.07,760
8de1729c-427d-433c-ade8-c01d00697682,2025-06-29,U03,T02,D01,staging,0.08,1312
0321ea59-4ca6-4693-9971-c9cd834486a6,2025-06-29,U02,T01,D04,staging,0.11,1117
96f6b070-8333-4513-b707-b4bf05dc189e,2025-06-29,U08,T04,D02,prod,0.25,860
27898125-f863-4593-95b7-ea7353eb64be,2025-06-29,U03,T02,D04,prod,0.12,843
